number,codepoint,utf,shortname
1143,U+2697,⚗,:alembic:
1144,U+1F9EA,🧪,:test-tube:
1145,U+1F9EB,🧫,:petri-dish:
1146,U+1F9EC,🧬,:dna:
1147,U+1F52C,🔬,:microscope:
1148,U+1F52D,🔭,:telescope:
1149,U+1F4E1,📡,:satellite-antenna:
1150,U+1F489,💉,:syringe:
1151,U+1F48A,💊,:pill:
1152,U+1F6AA,🚪,:door:
1153,U+1F6CF,🛏,:bed:
1154,U+1F6CB,🛋,:couch-and-lamp:
1155,U+1F6BD,🚽,:toilet:
1156,U+1F6BF,🚿,:shower:
1157,U+1F6C1,🛁,:bathtub:
1158,U+1F9F4,🧴,:lotion-bottle:
1159,U+1F9F7,🧷,:safety-pin:
1160,U+1F9F9,🧹,:broom:
1161,U+1F9FA,🧺,:basket:
1162,U+1F9FB,🧻,:roll-of-paper:
1163,U+1F9FC,🧼,:soap:
1164,U+1F9FD,🧽,:sponge:
1165,U+1F9EF,🧯,:fire-extinguisher:
1166,U+1F6D2,🛒,:shopping-cart:
1167,U+1F6AC,🚬,:cigarette:
1168,U+26B0,⚰,:coffin:
1169,U+26B1,⚱,:funeral-urn:
1170,U+1F5FF,🗿,:moai:
1171,U+1F3E7,🏧,:ATM-sign:
1172,U+1F6AE,🚮,:litter-in-bin-sign:
1173,U+1F6B0,🚰,:potable-water:
1174,U+267F,♿,:wheelchair-symbol:
1175,U+1F6B9,🚹,:men’s-room:
1176,U+1F6BA,🚺,:women’s-room:
1177,U+1F6BB,🚻,:restroom:
1178,U+1F6BC,🚼,:baby-symbol:
1179,U+1F6BE,🚾,:water-closet:
1180,U+1F6C2,🛂,:passport-control:
1181,U+1F6C3,🛃,:customs:
1182,U+1F6C4,🛄,:baggage-claim:
1183,U+1F6C5,🛅,:left-luggage:
1184,U+26A0,⚠,:warning:
1185,U+1F6B8,🚸,:children-crossing:
1186,U+26D4,⛔,:no-entry:
1187,U+1F6AB,🚫,:prohibited:
1188,U+1F6B3,🚳,:no-bicycles:
1189,U+1F6AD,🚭,:no-smoking:
1190,U+1F6AF,🚯,:no-littering:
1191,U+1F6B1,🚱,:non-potable-water:
1192,U+1F6B7,🚷,:no-pedestrians:
1193,U+1F4F5,📵,:no-mobile-phones:
1194,U+1F51E,🔞,:no-one-under-eighteen:
1195,U+2622,☢,:radioactive:
1196,U+2623,☣,:biohazard:
1197,U+2B06,⬆,:up-arrow:
1198,U+2197,↗,:up-right-arrow:
1199,U+27A1,➡,:right-arrow:
1200,U+2198,↘,:down-right-arrow:
1201,U+2B07,⬇,:down-arrow:
1202,U+2199,↙,:down-left-arrow:
1203,U+2B05,⬅,:left-arrow:
1204,U+2196,↖,:up-left-arrow:
1205,U+2195,↕,:up-down-arrow:
1206,U+2194,↔,:left-right-arrow:
1207,U+21A9,↩,:right-arrow-curving-left:
1208,U+21AA,↪,:left-arrow-curving-right:
1209,U+2934,⤴,:right-arrow-curving-up:
1210,U+2935,⤵,:right-arrow-curving-down:
1211,U+1F503,🔃,:clockwise-vertical-arrows:
1212,U+1F504,🔄,:counterclockwise-arrows-button:
1213,U+1F519,🔙,:BACK-arrow:
1214,U+1F51A,🔚,:END-arrow:
1215,U+1F51B,🔛,:ON!-arrow:
1216,U+1F51C,🔜,:SOON-arrow:
1217,U+1F51D,🔝,:TOP-arrow:
1218,U+1F6D0,🛐,:place-of-worship:
1219,U+269B,⚛,:atom-symbol:
1220,U+1F549,🕉,:om:
1221,U+2721,✡,:star-of-David:
1222,U+2638,☸,:wheel-of-dharma:
1223,U+262F,☯,:yin-yang:
1224,U+271D,✝,:latin-cross:
1225,U+2626,☦,:orthodox-cross:
1226,U+262A,☪,:star-and-crescent:
1227,U+262E,☮,:peace-symbol:
1228,U+1F54E,🕎,:menorah:
1229,U+1F52F,🔯,:dotted-six-pointed-star:
1230,U+2648,♈,:Aries:
1231,U+2649,♉,:Taurus:
1232,U+264A,♊,:Gemini:
1233,U+264B,♋,:Cancer:
1234,U+264C,♌,:Leo:
1235,U+264D,♍,:Virgo:
1236,U+264E,♎,:Libra:
1237,U+264F,♏,:Scorpio:
1238,U+2650,♐,:Sagittarius:
1239,U+2651,♑,:Capricorn:
1240,U+2652,♒,:Aquarius:
1241,U+2653,♓,:Pisces:
1242,U+26CE,⛎,:Ophiuchus:
1243,U+1F500,🔀,:shuffle-tracks-button:
1244,U+1F501,🔁,:repeat-button:
1245,U+1F502,🔂,:repeat-single-button:
1246,U+25B6,▶,:play-button:
1247,U+23E9,⏩,:fast-forward-button:
1248,U+23ED,⏭,:next-track-button:
1249,U+23EF,⏯,:play-or-pause-button:
1250,U+25C0,◀,:reverse-button:
1251,U+23EA,⏪,:fast-reverse-button:
1252,U+23EE,⏮,:last-track-button:
1253,U+1F53C,🔼,:upwards-button:
1254,U+23EB,⏫,:fast-up-button:
1255,U+1F53D,🔽,:downwards-button:
1256,U+23EC,⏬,:fast-down-button:
1257,U+23F8,⏸,:pause-button:
1258,U+23F9,⏹,:stop-button:
1259,U+23FA,⏺,:record-button:
1260,U+23CF,⏏,:eject-button:
1261,U+1F3A6,🎦,:cinema:
1262,U+1F505,🔅,:dim-button:
1263,U+1F506,🔆,:bright-button:
1264,U+1F4F6,📶,:antenna-bars:
1265,U+1F4F3,📳,:vibration-mode:
1266,U+1F4F4,📴,:mobile-phone-off:
1267,U+2640,♀,:female-sign:
1268,U+2642,♂,:male-sign:
1269,U+2695,⚕,:medical-symbol:
1270,U+267E,♾,:infinity:
1271,U+267B,♻,:recycling-symbol:
1272,U+269C,⚜,:fleur-de-lis:
1273,U+1F531,🔱,:trident-emblem:
1274,U+1F4DB,📛,:name-badge:
1275,U+1F530,🔰,:Japanese-symbol-for-beginner:
1276,U+2B55,⭕,:heavy-large-circle:
1277,U+2705,✅,:white-heavy-check-mark:
1278,U+2611,☑,:ballot-box-with-check:
1279,U+2714,✔,:heavy-check-mark:
1280,U+2716,✖,:heavy-multiplication-x:
1281,U+274C,❌,:cross-mark:
1282,U+274E,❎,:cross-mark-button:
1283,U+2795,➕,:heavy-plus-sign:
1284,U+2796,➖,:heavy-minus-sign:
1285,U+2797,➗,:heavy-division-sign:
1286,U+27B0,➰,:curly-loop:
1287,U+27BF,➿,:double-curly-loop:
1288,U+303D,〽,:part-alternation-mark:
1289,U+2733,✳,:eight-spoked-asterisk:
1290,U+2734,✴,:eight-pointed-star:
1291,U+2747,❇,:sparkle:
1292,U+203C,‼,:double-exclamation-mark:
1293,U+2049,⁉,:exclamation-question-mark:
1294,U+2753,❓,:question-mark:
1295,U+2754,❔,:white-question-mark:
1296,U+2755,❕,:white-exclamation-mark:
1297,U+2757,❗,:exclamation-mark:
1298,U+3030,〰,:wavy-dash:
1299,U+00A9,©,:copyright:
1300,U+00AE,®,:registered:
1301,U+2122,™,:trade-mark:
1302,U+0023 U+FE0F U+20E3,#️⃣,:keycap;-#:
1303,U+002A U+FE0F U+20E3,*️⃣,:keycap;-*:
1304,U+0030 U+FE0F U+20E3,0️⃣,:keycap;-0:
1305,U+0031 U+FE0F U+20E3,1️⃣,:keycap;-1:
1306,U+0032 U+FE0F U+20E3,2️⃣,:keycap;-2:
1307,U+0033 U+FE0F U+20E3,3️⃣,:keycap;-3:
1308,U+0034 U+FE0F U+20E3,4️⃣,:keycap;-4:
1309,U+0035 U+FE0F U+20E3,5️⃣,:keycap;-5:
1310,U+0036 U+FE0F U+20E3,6️⃣,:keycap;-6:
1311,U+0037 U+FE0F U+20E3,7️⃣,:keycap;-7:
1312,U+0038 U+FE0F U+20E3,8️⃣,:keycap;-8:
1313,U+0039 U+FE0F U+20E3,9️⃣,:keycap;-9:
1314,U+1F51F,🔟,:keycap;-10:
1315,U+1F4AF,💯,:hundred-points:
1316,U+1F520,🔠,:input-latin-uppercase:
1317,U+1F521,🔡,:input-latin-lowercase:
1318,U+1F522,🔢,:input-numbers:
1319,U+1F523,🔣,:input-symbols:
1320,U+1F524,🔤,:input-latin-letters:
1321,U+1F170,🅰,:A-button-(blood-type):
1322,U+1F18E,🆎,:AB-button-(blood-type):
1323,U+1F171,🅱,:B-button-(blood-type):
1324,U+1F191,🆑,:CL-button:
1325,U+1F192,🆒,:COOL-button:
1326,U+1F193,🆓,:FREE-button:
1327,U+2139,ℹ,:information:
1328,U+1F194,🆔,:ID-button:
1329,U+24C2,Ⓜ,:circled-M:
1330,U+1F195,🆕,:NEW-button:
1331,U+1F196,🆖,:NG-button:
1332,U+1F17E,🅾,:O-button-(blood-type):
1333,U+1F197,🆗,:OK-button:
1334,U+1F17F,🅿,:P-button:
1335,U+1F198,🆘,:SOS-button:
1336,U+1F199,🆙,:UP!-button:
1337,U+1F19A,🆚,:VS-button:
1338,U+1F201,🈁,:Japanese-“here”-button:
1339,U+1F202,🈂,:Japanese-“service-charge”-button:
1340,U+1F237,🈷,:Japanese-“monthly-amount”-button:
1341,U+1F236,🈶,:Japanese-“not-free-of-charge”-button:
1342,U+1F22F,🈯,:Japanese-“reserved”-button:
1343,U+1F250,🉐,:Japanese-“bargain”-button:
1344,U+1F239,🈹,:Japanese-“discount”-button:
1345,U+1F21A,🈚,:Japanese-“free-of-charge”-button:
1346,U+1F232,🈲,:Japanese-“prohibited”-button:
1347,U+1F251,🉑,:Japanese-“acceptable”-button:
1348,U+1F238,🈸,:Japanese-“application”-button:
1349,U+1F234,🈴,:Japanese-“passing-grade”-button:
1350,U+1F233,🈳,:Japanese-“vacancy”-button:
1351,U+3297,㊗,:Japanese-“congratulations”-button:
1352,U+3299,㊙,:Japanese-“secret”-button:
1353,U+1F23A,🈺,:Japanese-“open-for-business”-button:
1354,U+1F235,🈵,:Japanese-“no-vacancy”-button:
1355,U+1F534,🔴,:red-circle:
1356,U+1F535,🔵,:blue-circle:
1357,U+26AA,⚪,:white-circle:
1358,U+26AB,⚫,:black-circle:
1359,U+2B1C,⬜,:white-large-square:
1360,U+2B1B,⬛,:black-large-square:
1361,U+25FC,◼,:black-medium-square:
1362,U+25FB,◻,:white-medium-square:
1363,U+25FD,◽,:white-medium-small-square:
1364,U+25FE,◾,:black-medium-small-square:
1365,U+25AB,▫,:white-small-square:
1366,U+25AA,▪,:black-small-square:
1367,U+1F536,🔶,:large-orange-diamond:
1368,U+1F537,🔷,:large-blue-diamond:
1369,U+1F538,🔸,:small-orange-diamond:
1370,U+1F539,🔹,:small-blue-diamond:
1371,U+1F53A,🔺,:red-triangle-pointed-up:
1372,U+1F53B,🔻,:red-triangle-pointed-down:
1373,U+1F4A0,💠,:diamond-with-a-dot:
1374,U+1F518,🔘,:radio-button:
1375,U+1F532,🔲,:black-square-button:
1376,U+1F533,🔳,:white-square-button:
1377,U+1F3C1,🏁,:chequered-flag:
1378,U+1F6A9,🚩,:triangular-flag:
1379,U+1F38C,🎌,:crossed-flags:
1380,U+1F3F4,🏴,:black-flag:
1381,U+1F3F3,🏳,:white-flag:
1382,U+1F3F3 U+FE0F U+200D U+1F308,🏳️‍🌈,:rainbow-flag:
1383,U+1F3F4 U+200D U+2620 U+FE0F,🏴‍☠️,:pirate-flag:
