number,codepoint,utf,shortname
342,U+1F468 U+200D U+1F468 U+200D U+1F466,👨‍👨‍👦,":family;-man,-man,-boy:"
343,U+1F468 U+200D U+1F468 U+200D U+1F467,👨‍👨‍👧,":family;-man,-man,-girl:"
344,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👨‍👧‍👦,":family;-man,-man,-girl,-boy:"
345,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👨‍👦‍👦,":family;-man,-man,-boy,-boy:"
346,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👨‍👧‍👧,":family;-man,-man,-girl,-girl:"
347,U+1F469 U+200D U+1F469 U+200D U+1F466,👩‍👩‍👦,":family;-woman,-woman,-boy:"
348,U+1F469 U+200D U+1F469 U+200D U+1F467,👩‍👩‍👧,":family;-woman,-woman,-girl:"
349,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👩‍👧‍👦,":family;-woman,-woman,-girl,-boy:"
350,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👩‍👦‍👦,":family;-woman,-woman,-boy,-boy:"
351,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👩‍👧‍👧,":family;-woman,-woman,-girl,-girl:"
352,U+1F468 U+200D U+1F466,👨‍👦,":family;-man,-boy:"
353,U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👦‍👦,":family;-man,-boy,-boy:"
354,U+1F468 U+200D U+1F467,👨‍👧,":family;-man,-girl:"
355,U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👧‍👦,":family;-man,-girl,-boy:"
356,U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👧‍👧,":family;-man,-girl,-girl:"
357,U+1F469 U+200D U+1F466,👩‍👦,":family;-woman,-boy:"
358,U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👦‍👦,":family;-woman,-boy,-boy:"
359,U+1F469 U+200D U+1F467,👩‍👧,":family;-woman,-girl:"
360,U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👧‍👦,":family;-woman,-girl,-boy:"
361,U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👧‍👧,":family;-woman,-girl,-girl:"
362,U+1F933,🤳,:selfie:
363,U+1F4AA,💪,:flexed-biceps:
364,U+1F9B5,🦵,:leg:
365,U+1F9B6,🦶,:foot:
366,U+1F448,👈,:backhand-index-pointing-left:
367,U+1F449,👉,:backhand-index-pointing-right:
368,U+261D,☝️,:index-pointing-up:
369,U+1F446,👆,:backhand-index-pointing-up:
370,U+1F595,🖕,:middle-finger:
371,U+1F447,👇,:backhand-index-pointing-down:
372,U+270C,✌️,:victory-hand:
373,U+1F91E,🤞,:crossed-fingers:
374,U+1F596,🖖,:vulcan-salute:
375,U+1F918,🤘,:sign-of-the-horns:
376,U+1F919,🤙,:call-me-hand:
377,U+1F590,🖐,:hand-with-fingers-splayed:
378,U+270B,✋,:raised-hand:
379,U+1F44C,👌,:OK-hand:
380,U+1F44D,👍,:thumbs-up:
381,U+1F44E,👎,:thumbs-down:
382,U+270A,✊,:raised-fist:
383,U+1F44A,👊,:oncoming-fist:
384,U+1F91B,🤛,:left-facing-fist:
385,U+1F91C,🤜,:right-facing-fist:
386,U+1F91A,🤚,:raised-back-of-hand:
387,U+1F44B,👋,:waving-hand:
388,U+1F91F,🤟,:love-you-gesture:
389,U+270D,✍️,:writing-hand:
390,U+1F44F,👏,:clapping-hands:
391,U+1F450,👐,:open-hands:
392,U+1F64C,🙌,:raising-hands:
393,U+1F932,🤲,:palms-up-together:
394,U+1F64F,🙏,:folded-hands:
395,U+1F91D,🤝,:handshake:
396,U+1F485,💅,:nail-polish:
397,U+1F442,👂,:ear:
398,U+1F443,👃,:nose:
399,U+1F463,👣,:footprints:
400,U+1F440,👀,:eyes:
401,U+1F441,👁,:eye:
402,U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,👁️‍🗨️,:eye-in-speech-bubble:
403,U+1F9E0,🧠,:brain:
404,U+1F9B4,🦴,:bone:
405,U+1F9B7,🦷,:tooth:
406,U+1F445,👅,:tongue:
407,U+1F444,👄,:mouth:
408,U+1F9B0,🦰,:red-hair:
409,U+1F9B1,🦱,:curly-hair:
410,U+1F9B3,🦳,:white-hair:
411,U+1F9B2,🦲,:bald:
412,U+1F48B,💋,:kiss-mark:
413,U+1F498,💘,:heart-with-arrow:
414,U+1F49D,💝,:heart-with-ribbon:
415,U+1F496,💖,:sparkling-heart:
416,U+1F497,💗,:growing-heart:
417,U+1F493,💓,:beating-heart:
418,U+1F49E,💞,:revolving-hearts:
419,U+1F495,💕,:two-hearts:
420,U+1F48C,💌,:love-letter:
421,U+2763,❣️,:heavy-heart-exclamation:
422,U+1F494,💔,:broken-heart:
423,U+2764,❤️,:red-heart:
424,U+1F9E1,🧡,:orange-heart:
425,U+1F49B,💛,:yellow-heart:
426,U+1F49A,💚,:green-heart:
427,U+1F499,💙,:blue-heart:
428,U+1F49C,💜,:purple-heart:
429,U+1F5A4,🖤,:black-heart:
430,U+1F49F,💟,:heart-decoration:
431,U+1F4A4,💤,:zzz:
432,U+1F4A2,💢,:anger-symbol:
433,U+1F4A3,💣,:bomb:
434,U+1F4A5,💥,:collision:
435,U+1F4A6,💦,:sweat-droplets:
436,U+1F4A8,💨,:dashing-away:
437,U+1F4AB,💫,:dizzy:
438,U+1F4AC,💬,:speech-balloon:
439,U+1F5E8,🗨,:left-speech-bubble:
440,U+1F5EF,🗯,:right-anger-bubble:
441,U+1F4AD,💭,:thought-balloon:
442,U+1F573,🕳,:hole:
443,U+1F453,👓,:glasses:
444,U+1F576,🕶,:sunglasses:
445,U+1F97D,🥽,:goggles:
446,U+1F97C,🥼,:lab-coat:
447,U+1F454,👔,:necktie:
448,U+1F455,👕,:t-shirt:
449,U+1F456,👖,:jeans:
450,U+1F9E3,🧣,:scarf:
451,U+1F9E4,🧤,:gloves:
452,U+1F9E5,🧥,:coat:
453,U+1F9E6,🧦,:socks:
454,U+1F457,👗,:dress:
455,U+1F458,👘,:kimono:
456,U+1F459,👙,:bikini:
457,U+1F45A,👚,:woman’s-clothes:
458,U+1F45B,👛,:purse:
459,U+1F45C,👜,:handbag:
460,U+1F45D,👝,:clutch-bag:
461,U+1F6CD,🛍,:shopping-bags:
462,U+1F392,🎒,:backpack:
463,U+1F45E,👞,:man’s-shoe:
464,U+1F45F,👟,:running-shoe:
465,U+1F97E,🥾,:hiking-boot:
466,U+1F97F,🥿,:flat-shoe:
467,U+1F460,👠,:high-heeled-shoe:
468,U+1F461,👡,:woman’s-sandal:
469,U+1F462,👢,:woman’s-boot:
470,U+1F451,👑,:crown:
471,U+1F452,👒,:woman’s-hat:
